requirement_course_id,resolution,corrected_matched_course_code,corrected_matched_course_name,corrected_match_status,reviewed_by,reviewed_at,note
reqcourse_36f7bdbe5f53,drop,,,,claude,2026-07-03,자동 패턴 분류: 교양영역 라벨/안내문/표 서식 부스러기이지 실제 과목이 아님 (raw_course_name='1영역: 사상과 역사')
reqcourse_a22c6b1290ec,drop,,,,claude,2026-07-03,자동 패턴 분류: 교양영역 라벨/안내문/표 서식 부스러기이지 실제 과목이 아님 (raw_course_name='2영역: 사회와 문화')
reqcourse_f44ed69bf6d2,drop,,,,claude,2026-07-03,자동 패턴 분류: 교양영역 라벨/안내문/표 서식 부스러기이지 실제 과목이 아님 (raw_course_name='6영역: 외국어')
reqcourse_f94e48f22b66,drop,,,,claude,2026-07-03,자동 패턴 분류: 교양영역 라벨/안내문/표 서식 부스러기이지 실제 과목이 아님 (raw_course_name='3영역: 문학과 예술')
reqcourse_874867117b0e,drop,,,,claude,2026-07-03,자동 패턴 분류: 교양영역 라벨/안내문/표 서식 부스러기이지 실제 과목이 아님 (raw_course_name='4영역 : 과학과 기술')
reqcourse_59670414f4cb,drop,,,,claude,2026-07-03,자동 패턴 분류: 교양영역 라벨/안내문/표 서식 부스러기이지 실제 과목이 아님 (raw_course_name='5영역: 건강과 레포츠')
reqcourse_a5a13381cfea,drop,,,,claude,2026-07-03,자동 패턴 분류: 교양영역 라벨/안내문/표 서식 부스러기이지 실제 과목이 아님 (raw_course_name='2과목 수강')
reqcourse_e8ebbe6e2962,drop,,,,claude,2026-07-03,자동 패턴 분류: 교양영역 라벨/안내문/표 서식 부스러기이지 실제 과목이 아님 (raw_course_name='1) ─┘')
reqcourse_4449340592ef,drop,,,,claude,2026-07-03,자동 패턴 분류: 교양영역 라벨/안내문/표 서식 부스러기이지 실제 과목이 아님 (raw_course_name='1영역: 사상과 역사')
reqcourse_ff57f60b4bca,drop,,,,claude,2026-07-03,자동 패턴 분류: 교양영역 라벨/안내문/표 서식 부스러기이지 실제 과목이 아님 (raw_course_name='6영역: 외국어')
reqcourse_a5eb921d27f2,drop,,,,claude,2026-07-03,자동 패턴 분류: 교양영역 라벨/안내문/표 서식 부스러기이지 실제 과목이 아님 (raw_course_name='3영역: 문학과 예술')
reqcourse_f24f8fcd45fe,drop,,,,claude,2026-07-03,자동 패턴 분류: 교양영역 라벨/안내문/표 서식 부스러기이지 실제 과목이 아님 (raw_course_name='4영역: 과학과 기술')
reqcourse_20e779dd999e,drop,,,,claude,2026-07-03,자동 패턴 분류: 교양영역 라벨/안내문/표 서식 부스러기이지 실제 과목이 아님 (raw_course_name='5영역: 건강과 레포츠')
reqcourse_12010b547b9c,drop,,,,claude,2026-07-03,자동 패턴 분류: 교양영역 라벨/안내문/표 서식 부스러기이지 실제 과목이 아님 (raw_course_name='2과목 수강')
reqcourse_d6075d3b8aef,drop,,,,claude,2026-07-03,자동 패턴 분류: 교양영역 라벨/안내문/표 서식 부스러기이지 실제 과목이 아님 (raw_course_name='1영역: 사상과 역사')
reqcourse_f57ca6b68810,drop,,,,claude,2026-07-03,자동 패턴 분류: 교양영역 라벨/안내문/표 서식 부스러기이지 실제 과목이 아님 (raw_course_name='6영역: 외국어')
reqcourse_12e118b5307c,drop,,,,claude,2026-07-03,자동 패턴 분류: 교양영역 라벨/안내문/표 서식 부스러기이지 실제 과목이 아님 (raw_course_name='3영역: 문학과 예술')
reqcourse_a29358ac4cf3,drop,,,,claude,2026-07-03,자동 패턴 분류: 교양영역 라벨/안내문/표 서식 부스러기이지 실제 과목이 아님 (raw_course_name='4영역: 과학과 기술')
reqcourse_94d031400068,drop,,,,claude,2026-07-03,자동 패턴 분류: 교양영역 라벨/안내문/표 서식 부스러기이지 실제 과목이 아님 (raw_course_name='5영역: 건강과 레포츠')
reqcourse_869d05dcda1a,drop,,,,claude,2026-07-03,자동 패턴 분류: 교양영역 라벨/안내문/표 서식 부스러기이지 실제 과목이 아님 (raw_course_name='2과목 수강')
reqcourse_30619449502d,drop,,,,claude,2026-07-03,자동 패턴 분류: 교양영역 라벨/안내문/표 서식 부스러기이지 실제 과목이 아님 (raw_course_name='1영역: 사상과 역사')
reqcourse_ce47dc972717,drop,,,,claude,2026-07-03,자동 패턴 분류: 교양영역 라벨/안내문/표 서식 부스러기이지 실제 과목이 아님 (raw_course_name='2영역: 사회와 문화')
reqcourse_317a3832ac09,drop,,,,claude,2026-07-03,자동 패턴 분류: 교양영역 라벨/안내문/표 서식 부스러기이지 실제 과목이 아님 (raw_course_name='6영역: 외국어')
reqcourse_483b65134bc1,drop,,,,claude,2026-07-03,자동 패턴 분류: 교양영역 라벨/안내문/표 서식 부스러기이지 실제 과목이 아님 (raw_course_name='3영역: 문학과 예술')
reqcourse_072f0e7ae4a9,drop,,,,claude,2026-07-03,자동 패턴 분류: 교양영역 라벨/안내문/표 서식 부스러기이지 실제 과목이 아님 (raw_course_name='4영역 : 과학과 기술')
reqcourse_5d239d79ea96,drop,,,,claude,2026-07-03,자동 패턴 분류: 교양영역 라벨/안내문/표 서식 부스러기이지 실제 과목이 아님 (raw_course_name='5영역: 건강과 레포츠')
reqcourse_0fe452293a79,drop,,,,claude,2026-07-03,자동 패턴 분류: 교양영역 라벨/안내문/표 서식 부스러기이지 실제 과목이 아님 (raw_course_name='2과목 수강')
reqcourse_4b23b0672a8d,confirm,,,,claude,2026-07-03,경제학부 공식 "펜토미노 교육과정" PDF(econ.pusan.ac.kr 학부메뉴)의 필수모듈 기초분석기법과 대조해 전공필수 분류 확인
reqcourse_03b2aa6b14e0,confirm,,,,claude,2026-07-03,경제학부 공식 "펜토미노 교육과정" PDF의 필수모듈 경제학기초이론과 대조해 전공기초 분류 확인
reqcourse_77d8dd716c74,confirm,,,,claude,2026-07-03,경제학부 공식 "펜토미노 교육과정" PDF의 필수모듈 경제학기초이론과 대조해 전공기초 분류 확인
reqcourse_68399c54433e,confirm,,,,claude,2026-07-03,경제학부 공식 "펜토미노 교육과정" PDF의 필수모듈 기초분석기법과 대조해 전공필수 분류 확인
reqcourse_652a8d7ad672,confirm,,,,claude,2026-07-03,경제학부 공식 "펜토미노 교육과정" PDF의 필수모듈 경제학기초이론과 대조해 전공필수 분류 확인
reqcourse_75d251677abd,confirm,,,,claude,2026-07-03,경제학부 공식 "펜토미노 교육과정" PDF의 필수모듈 경제학기초이론과 대조해 전공필수 분류 확인
